STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,EVAP,PRCP,TMAX,TMIN,WDMV
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/29/12,10.9,0,29.4,17.8,142
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/30/12,3.8,0,30,16.7,76
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/1/12,4.8,0,30,18.3,106
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/2/12,9.1,0,31.1,19.4,106
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/3/12,5.3,0,31.7,18.9,122
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/4/12,7.6,0,28.9,19.4,132
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/5/12,5.1,0,31.1,21.1,132
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/6/12,9.4,0,32.2,21.7,85
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/7/12,3,8.9,33.3,18.3,93
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/8/12,2.5,5.3,25,17.8,61
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/9/12,7.4,0,26.7,15,103
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/10/12,5.8,0,25.6,8.9,92
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/11/12,8.6,0,24.4,10.6,45
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/12/12,5.8,0.3,25,12.2,72
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/13/12,3,13.2,23.9,16.7,114
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/14/12,1.3,1,21.7,12.2,69
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/15/12,2.3,0,23.9,12.8,77
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/16/12,3.3,0,28.3,13.3,56
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/17/12,6.6,0,30,14.4,48
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/18/12,9.7,0,30.6,15,43
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/19/12,12.2,0,31.1,16.1,77
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/20/12,5.6,0,30.6,17.2,80
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/21/12,4.6,9.4,32.8,15,80
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/22/12,9.9,0,27.2,12.8,90
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/23/12,9.9,0,26.1,11.1,72
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/24/12,5.3,0,28.3,16.1,76
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/25/12,7.9,0,32.2,16.1,151
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/26/12,13.2,0,32.8,18.9,105
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/27/12,8.4,0,33.3,18.3,63
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/28/12,7.4,0,34.4,17.8,48
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/29/12,5.1,0,34.4,21.7,85
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/30/12,5.3,0,33.9,16.7,95
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,5/31/12,8.1,0,30,16.7,61
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/1/12,6.4,9.9,30.6,12.8,124
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/2/12,8.4,0,21.7,11.1,84
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/3/12,5.6,0,26.1,12.8,90
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/4/12,7.1,50.8,31.7,15.6,87
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/5/12,5.1,1,29.4,16.7,79
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/6/12,11.2,0,27.8,13.9,127
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/7/12,9.9,0,26.7,15,130
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/8/12,8.1,0,27.8,14.4,101
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/9/12,9.1,0,30,15.6,76
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/10/12,9.1,1.3,30.6,18.9,121
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/11/12,3,10.4,28.9,19.4,93
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/12/12,6.1,22.1,31.7,18.9,76
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/13/12,4.3,0,28.3,15.6,82
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/14/12,6.1,0,30,14.4,53
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/15/12,6.9,0,32.2,16.7,47
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/16/12,9.9,0,32.2,20.6,80
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/17/12,7.6,0,31.1,20,98
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/18/12,9.9,0,31.7,19.4,103
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/19/12,6.4,0,32.2,20.6,117
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/20/12,9.1,0,32.8,20.6,95
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/21/12,0,0,32.8,18.9,71
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/22/12,8.9,0,33.3,18.9,47
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/23/12,11.4,0,33.3,16.7,63
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/24/12,11.9,0,33.9,16.7,55
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/25/12,5.1,0,36.1,19.4,53
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/26/12,10.2,0,37.2,21.7,116
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/27/12,8.9,0,31.7,12.8,116
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/28/12,5.8,0,35,16.7,40
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/29/12,12.4,0,38.3,17.2,55
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,6/30/12,9.4,0,38.9,21.1,47
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/1/12,9.1,0,38.3,22.8,58
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/2/12,8.1,0,38.3,22.8,63
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/3/12,7.6,0,37.2,20.6,87
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/4/12,10.2,0,36.1,21.7,74
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/5/12,10.2,0,38.3,22.2,72
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/6/12,10.9,0,39.4,22.8,64
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/7/12,10.9,0,40,22.2,66
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/8/12,8.9,0,37.8,23.9,66
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/9/12,6.9,0,36.1,20.6,100
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/10/12,4.6,9.4,31.7,21.1,53
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/11/12,3,7.6,31.1,21.7,85
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/12/12,9.4,0,31.1,21.1,111
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/13/12,0.8,5.1,27.2,21.7,95
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/14/12,,25.4,30,21.1,64
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/15/12,,34.3,26.1,21.1,64
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/16/12,2.5,0,31.7,21.7,63
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/17/12,5.6,0,34.4,22.2,64
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/18/12,6.6,1.3,35,23.3,71
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/19/12,14,12.7,35.6,21.1,109
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/20/12,7.9,0,36.1,22.2,72
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/21/12,6.6,3.8,32.8,23.3,76
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/22/12,7.9,0,32.2,23.3,89
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/23/12,5.3,0,33.3,23.9,64
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/24/12,6.1,0,35,23.3,66
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/25/12,9.9,0,35.6,23.3,82
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/26/12,11.4,0,35.6,22.8,113
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/27/12,7.4,7.9,36.1,21.7,129
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/28/12,7.9,0,30.6,21.7,29
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/29/12,8.1,0,33.9,19.4,53
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/30/12,3,0,32.2,20.6,55
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,7/31/12,4.1,15.2,35.6,21.7,74
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/1/12,9.4,0,35,21.7,53
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/2/12,7.4,0,35.6,21.7,72
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/3/12,9.7,14.5,36.1,22.8,82
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/4/12,8.9,2,33.9,23.3,101
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/5/12,5.6,0,34.4,24.4,109
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/6/12,2,0.8,34.4,23.9,50
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/7/12,5.3,0,35.6,22.2,34
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/8/12,10.9,0,35,20,34
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/9/12,7.4,0,36.1,21.7,53
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/10/12,7.6,0,35,22.2,66
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/11/12,11.2,0,31.7,15.6,113
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/12/12,7.6,0,30.6,14.4,68
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/13/12,2.8,0,32.8,16.1,55
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/14/12,4.8,0.3,31.1,18.9,97
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/15/12,6.9,0,30,19.4,84
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/16/12,10.4,0,32.8,20,63
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/17/12,10.9,74.4,36.7,20,119
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/18/12,7.9,0.3,27.2,18.3,55
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/19/12,5.1,0,27.8,17.2,51
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/20/12,4.8,0,29.4,17.8,53
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/21/12,4.8,0,30.6,13.9,27
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/22/12,6.1,0,31.7,15,29
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/23/12,10.2,0,33.3,16.1,66
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/24/12,4.3,0,33.9,17.2,64
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/25/12,11.4,0,32.2,17.2,77
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/26/12,1,0,27.8,20.6,103
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/27/12,6.9,0,32.8,20,51
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/28/12,7.1,0,35.6,20,71
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/29/12,8.4,0,33.3,20.6,113
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/30/12,7.9,0,34.4,21.7,134
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,8/31/12,5.3,0,33.3,22.8,192
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/1/12,8.1,0,33.3,24.4,227
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/2/12,,76.5,33.3,21.1,177
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/3/12,4.6,0.8,31.7,22.2,106
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/4/12,4.6,0,32.2,20.6,74
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/5/12,4.8,0,33.9,21.1,55
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/6/12,13,28.4,35.6,20,85
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/7/12,7.4,2.5,33.3,19.4,76
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/8/12,13,15.2,33.9,18.3,135
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/9/12,7.1,0,24.4,11.7,101
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/10/12,5.8,0,28.3,11.7,77
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/11/12,5.6,0,28.9,12.2,55
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/12/12,5.6,0,30,13.3,58
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/13/12,10.7,0,31.7,18.3,100
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,9/14/12,2.8,0,26.7,17.2,58
